序号,年份,学科门类,项目类别,项目名称,申请人,学校名称
864.0,2011,管理学,青年基金项目,基于社会计算的新疆网络舆情分析与预警机制研究,刘继,新疆财经大学
865.0,2011,管理学,青年基金项目,社会管理创新与农村征地型群体性事件治理研究,祝天智,徐州师范大学
866.0,2011,管理学,青年基金项目,股权激励与公司价值—基于控制权配置视角的研究,李春玲,燕山大学
867.0,2011,管理学,青年基金项目,基于协同控制的随机混流装配过程重构优化算法研究,李富明,燕山大学
868.0,2011,管理学,青年基金项目,集群与联盟共生耦合视角下战略性新兴产业的形成机理及发展演变研究,连远强,扬州大学
869.0,2011,管理学,青年基金项目,我国公司债券融资的治理机制与效应研究——基于金融生态环境的视角,郭志明,云南财经大学
870.0,2011,管理学,青年基金项目,存货组合质押融资及其风险管理研究,李富昌,云南师范大学
871.0,2011,管理学,青年基金项目,混合渠道供应链中的服务横向合作模型与协调机制研究,陈远高,浙江财经学院
872.0,2011,管理学,青年基金项目,基于BEHMs的太湖流域农户生产行为水环境效应及其激励机,杨丽霞,浙江财经学院
873.0,2011,管理学,青年基金项目,基于网络的企业升级机制及管理策略研究,唐春晖,浙江财经学院
874.0,2011,管理学,青年基金项目,基于虚拟水理论的钱塘江流域水资源管理创新机制研究,李玉文,浙江财经学院
875.0,2011,管理学,青年基金项目,大型零售商占主导权力情形下各种供应链结构的契约协调策略研究,潘可文,浙江工商大学
876.0,2011,管理学,青年基金项目,面向干扰环境的创新性产品供应链协作机制及群体涌现行为,陈庭贵,浙江工商大学
877.0,2011,管理学,青年基金项目,保障性住房建设中的空间失配问题及其优化策略研究,顾杰,浙江工商大学
878.0,2011,管理学,青年基金项目,基于多层元胞自动机理论的区域物流网络演化机制及优化模型研究,蒋长兵,浙江工商大学
879.0,2011,管理学,青年基金项目,机构投资者对公司信息披露的影响机理研究--基于财务重述的视角,姚瑶,浙江工商大学
880.0,2011,管理学,青年基金项目,信息技术制具对个人用户信息技术接受和使用的影响机理研,孙元,浙江工商大学
881.0,2011,管理学,青年基金项目,基于知识管理的企业技术创新能力提升机制研究,孙家胜,浙江工商大学
882.0,2011,管理学,青年基金项目,基于知识共享的产业技术创新联盟中成员间信任机制及组合绩效研究,蒋樟生,浙江工商大学
883.0,2011,管理学,青年基金项目,基于EPR制度内涵的废旧产品回收处理模式及其应用研究,曹柬,浙江工业大学
884.0,2011,管理学,青年基金项目,政府对农民工人力资本投资的运作模式和绩效研究,翁杰,浙江工业大学
885.0,2011,管理学,青年基金项目,基于内部控制和全面风险管理的企业转型升级风险防范机制,林素燕,浙江工业大学
886.0,2011,管理学,青年基金项目,伦理驱动的企业社会责任实现机制研究,姜志华,浙江科技学院
887.0,2011,管理学,青年基金项目,民主法治视角下的民国时期政府审计思想及其借鉴,朱灵通,浙江科技学院
888.0,2011,管理学,青年基金项目,创业者特质、社会网络对创业风险的作用机理研究：基于社会认知理论,杨隽萍,浙江理工大学
889.0,2011,管理学,青年基金项目,STI/DUI学习的互补关系及其耦合演化过程研究,郭爱芳,浙江理工大学
890.0,2011,管理学,青年基金项目,高校科技创新团队创新绩效评价——基于长三角的实证研究,王晓蓬,浙江理工大学
891.0,2011,管理学,青年基金项目,企业家能力和行为偏差对企业投资决策影响机理研究,程博,浙江农林大学
892.0,2011,管理学,青年基金项目,面向混合性能指标优化决策问题的智能交互式群决策方法研,张俊岭,浙江师范大学
893.0,2011,管理学,青年基金项目,公共文化服务中的民营企业角色——基于政企互动的浙江实践分析,林敏娟,浙江师范大学
894.0,2011,管理学,青年基金项目,中小集群企业包容性增长的内在机理研究：基于能力的视角,范轶琳,浙江树人学院
895.0,2011,管理学,青年基金项目,企业家社会网络、组织能力与集群企业自主创新形式跃迁研,吴俊杰,浙江树人学院
896.0,2011,管理学,青年基金项目,民营中小企业劳资关系与决策机制设计——浙江实证,钱晨,浙江外国语学院
897.0,2011,管理学,青年基金项目,贸易保护主义背景下农产品出口企业应对国外SPS措施研究,宋海英,浙江外国语学院
898.0,2011,管理学,青年基金项目,省级旅游目的地品牌化:影响因素及路径选择,高静,浙江外国语学院
899.0,2011,管理学,青年基金项目,煤矿突发水灾害危机演化机理与响应系统研究,张炎亮,郑州大学
900.0,2011,管理学,青年基金项目,动物源性食品供应链安全可靠性管理研究,陈洪根,郑州航空工业管理学
901.0,2011,管理学,青年基金项目,软约束机制下生态预算的理论与吸收对策研究,郝韦霞,郑州航空工业管理学
902.0,2011,管理学,青年基金项目,基于电子市场的电子采购策略中的供应链关系协调机制研究,常广庶,郑州航空工业管理学
903.0,2011,管理学,青年基金项目,地质灾害应急决策中政府与非营利组织联动嵌入机制研究,侯俊东,中国地质大学
904.0,2011,管理学,青年基金项目,外部知识网络、开放式学习与产业集群创新研究：以武汉·中国光谷为例,易明,中国地质大学
905.0,2011,管理学,青年基金项目,规模经济下协同运输的路线整合问题研究,翁克瑞,中国地质大学
906.0,2011,管理学,青年基金项目,天然气产运销调峰信号提取及策略优化研究,王小林,中国地质大学
907.0,2011,管理学,青年基金项目,中国海洋生态安全治理模式研究,杨振姣,中国海洋大学
908.0,2011,管理学,青年基金项目,滨海旅游环境承载力与可持续开发研究——以山东半岛蓝色经济区为例,刘佳,中国海洋大学
909.0,2011,管理学,青年基金项目,中国水产品质量安全溯源信息监管机制研究,陈雨生,中国海洋大学
910.0,2011,管理学,青年基金项目,中国学龄儿童对家庭购买决策的影响机理研究--基于家长视角的实证,郭小钗,中国计量学院
911.0,2011,管理学,青年基金项目,基于地价均衡的城市扩张调控研究,李效顺,中国矿业大学
912.0,2011,管理学,青年基金项目,煤矿员工不安全行为路径依赖性诱发事故过程仿真及防控模式研究,许正权,中国矿业大学
913.0,2011,管理学,青年基金项目,基于异质性的共享资源合作供给制度安排研究,宋妍,中国矿业大学
914.0,2011,管理学,青年基金项目,煤矿企业安全监察和奖惩制度与作业人员行为涌现现象间的关系研究,祁慧,中国矿业大学
915.0,2011,管理学,青年基金项目,生鲜农产品跨区域“农超对接”模式与冷链协调机制研究,冯颖,中国矿业大学
916.0,2011,管理学,青年基金项目,水资源配置中的期权契约设计及其最优策略研究--以南水北调东线为例,王慧,中国矿业大学
917.0,2011,管理学,青年基金项目,突发性能源短缺应急响应的组织体系及“情景－应对”策略,吕涛,中国矿业大学
918.0,2011,管理学,青年基金项目,知识共享对企业多阶段成长的影响机理与对策研究,王智宁,中国矿业大学
919.0,2011,管理学,青年基金项目,转型经济下中国风险投资的投资后管理行为研究,袁蓉丽,中国人民大学
920.0,2011,管理学,青年基金项目,城市边缘区村镇发展模式与土地利用政策协调机制研究——以武汉市为例,李强,中国人民大学
921.0,2011,管理学,青年基金项目,基于推荐的病毒营销用户影响研究,余力,中国人民大学
922.0,2011,管理学,青年基金项目,在购买决策过程中矛盾态度对消费者情绪以及决策行为的影响机制研究,庞隽,中国人民大学
923.0,2011,管理学,青年基金项目,基于网络DEA方法的链式企业绩效评价研究,李宁,中国石油大学（华
924.0,2011,管理学,青年基金项目,经营对冲还是金融对冲？中国跨国公司的汇率风险管理研究,郭飞,中南财经政法大学
925.0,2011,管理学,青年基金项目,中国生鲜农产品供应链稳定性管理：理论与实证研究,熊峰,中南财经政法大学
926.0,2011,管理学,青年基金项目,供应链上资金流管理研究,张璇,中南财经政法大学
927.0,2011,管理学,青年基金项目,资产注入动机及其经济后果——基于“支持”和“谋利”视角的实证研究,季华,中南财经政法大学
928.0,2011,管理学,青年基金项目,社会转型期员工弱势心理的影响因素、形成机制与干预策略,赵书松,中南大学
929.0,2011,管理学,青年基金项目,企业研发众包对创新绩效的作用机制及风险治理,张利斌,中南民族大学
930.0,2011,管理学,青年基金项目,体面劳动感知对新生代员工敬业度的影响研究,毛冠凤,中南民族大学
931.0,2011,管理学,青年基金项目,基于顾客行为的拥塞型服务设施选址研究,胡丹丹,中南民族大学
932.0,2011,管理学,青年基金项目,管理者报酬激励、盈余管理及其经济后果研究,刘晓霞,中南民族大学
933.0,2011,管理学,青年基金项目,大规模自然灾害过后医疗资源分配优化问题：基于排队论视角的研究,向一莎,中山大学
934.0,2011,管理学,青年基金项目,公共服务提供方式多元化改革中的问责途径和风险分配研究,陈琤,中山大学
935.0,2011,管理学,青年基金项目,顾客创新体验对其品牌态度及行为倾向的影响,邬金涛,中山大学
936.0,2011,管理学,青年基金项目,我国基本养老保险制度影响劳动力流动的模型与实证研究,阳义南,中山大学
937.0,2011,管理学,青年基金项目,基于民生视角的政府投资项目监管体系研究——G-BSC构建,周君,中央财经大学
938.0,2011,管理学,青年基金项目,债务纠纷、诉讼及其治理后果,王彦超,中央财经大学
939.0,2011,管理学,青年基金项目,整体性治理视角下的我国大都市区地方政府跨界公共事务协作研究,崔晶,中央财经大学
940.0,2011,管理学,青年基金项目,互联网企业成长机理及模式研究,张巍,中央财经大学
941.0,2011,管理学,青年基金项目,少数民族贫困地区社会救助的政府与NGO合作机制研究,金红磊,中央民族大学
942.0,2011,管理学,青年基金项目,有限理性下基于集中治污的中小企业排污监管机制研究,黄波,重庆大学
943.0,2011,管理学,青年基金项目,基于灰色建模技术的城市交通拥堵预测与治理策略研究,曾波,重庆工商大学
944.0,2011,管理学,青年基金项目,大股东控制下的股权结构对企业R&D投资行为的影响研究,刘胜强,重庆工商大学
945.0,2011,管理学,青年基金项目,组织集结计量方法研究,尹波,重庆交通大学
946.0,2011,管理学,青年基金项目,差错管理气氛、知识转化与创新行为的关系研究,李忆,重庆邮电大学
947.0,2011,管理学,自筹经费项目,环境金融运行模式研究,逄金辉,北京理工大学
948.0,2011,管理学,自筹经费项目,低碳经济社会转型的动力机制研究,李爱琴,东北林业大学
949.0,2011,管理学,自筹经费项目,大学生非正式组织作用机理及与正式组织的互动关系实证研,潘从义,温州大学
950.0,2011,国际问题研究,规划基金项目,全球政治理论创新研究,刘小林,北京师范大学
951.0,2011,国际问题研究,规划基金项目,南北型FTA非贸易问题演化趋势及中国的对策,孙玉红,东北财经大学
952.0,2011,国际问题研究,规划基金项目,东道国区位优势与FDI流入关系研究,李东阳,东北财经大学
953.0,2011,国际问题研究,规划基金项目,苏联-俄罗斯科技创新体系对比研究,宋兆杰,东北大学
954.0,2011,国际问题研究,规划基金项目,东盟国家粮食安全战略与中国的粮食安全,胡莹,广东商学院
955.0,2011,国际问题研究,规划基金项目,冷战末期以来美国西藏政策形成机制研究,王林平,哈尔滨工程大学
956.0,2011,国际问题研究,规划基金项目,大国崛起与国际法律秩序变塑研究,李杰豪,湖南商学院
957.0,2011,国际问题研究,规划基金项目,南海周边国家与地区南海政策与中国南海维权,鞠海龙,暨南大学
958.0,2011,国际问题研究,规划基金项目,国际社会对转基因生物的争论及对中国的启示,邓宗豪,四川大学
959.0,2011,国际问题研究,规划基金项目,俄罗斯的外大陆架政策研究,匡增军,武汉大学
960.0,2011,国际问题研究,规划基金项目,俄罗斯经济现代化与中俄经贸发展趋势研究,侯铁建,徐州师范大学
961.0,2011,国际问题研究,规划基金项目,后危机时期中非金融合作发展趋势、路径及中国战略,张小峰,浙江师范大学
962.0,2011,国际问题研究,规划基金项目,关于俄罗斯海洋战略的基础性研究,窦博,中国海洋大学
963.0,2011,国际问题研究,规划基金项目,能源安全视角下的国际政治博弈及中国参与国际新能源合作的对策研究,陈小沁,中国人民大学
964.0,2011,国际问题研究,规划基金项目,21世纪中印美三角外交关系研究,卫灵,中国政法大学
965.0,2011,国际问题研究,规划基金项目,“西藏问题”的国际化及中国对策,曹兴,中国政法大学
966.0,2011,国际问题研究,规划基金项目,发展与稳定——东南亚国家的经验教训,黄云静,中山大学
967.0,2011,国际问题研究,青年基金项目,美国联盟体系与地区经济发展,杨毅,北京外国语大学
968.0,2011,国际问题研究,青年基金项目,亚太区域合作制度化视角下“跨太平洋伙伴关系协定”发展前景研究,熊李力,对外经济贸易大学
969.0,2011,国际问题研究,青年基金项目,日本的文化政策及文化发展战略研究,赵敬,对外经济贸易大学
970.0,2011,国际问题研究,青年基金项目,中印边界问题与中印关系,洪共福,阜阳师范学院
971.0,2011,国际问题研究,青年基金项目,合作的可能性:中国参与全球气候变化治理研究,薄燕,复旦大学
972.0,2011,国际问题研究,青年基金项目,非洲问题与中欧关系：基于“冲突管理”模式的分析,简军波,复旦大学
973.0,2011,国际问题研究,青年基金项目,国际移民组织(IOM)及其移民治理研究——兼论对中国移民治理的启示,郭秋梅,贵州师范大学
974.0,2011,国际问题研究,青年基金项目,上海合作组织所面临的阿富汗问题挑战研究,何明,华东师范大学
975.0,2011,国际问题研究,青年基金项目,中朝合作开发“一区两岛”的对策研究,孙晓霞,吉林财经大学
976.0,2011,国际问题研究,青年基金项目,东亚地缘环境变化与中国区域地缘战略,郭锐,吉林大学
977.0,2011,国际问题研究,青年基金项目,当前世界经济周期波动及其变动趋势研究,刘兴华,江西财经大学
978.0,2011,国际问题研究,青年基金项目,社会运动理论视角下的西亚北非政治剧变及其启示研究,曾向红,兰州大学
979.0,2011,国际问题研究,青年基金项目,影响中美关系的美国国会因素分析--以第111届和第112届国会为例,唐彦林,辽宁大学
980.0,2011,国际问题研究,青年基金项目,我国同周边国家之间关于人民币区域化的政策互动问题研究,布仁吉日嘎拉,内蒙古大学
981.0,2011,国际问题研究,青年基金项目,美国粮食外交及中国的对策,徐振伟,南开大学
982.0,2011,国际问题研究,青年基金项目,新贸易保护主义对我国外贸影响及对策研究,梁俊伟,山东大学
983.0,2011,国际问题研究,青年基金项目,超越博弈：国际气候合作的动因、内涵、路径、困局及其破解之钥,李强,天津外国语大学
984.0,2011,国际问题研究,青年基金项目,普遍主义话语的困境：从穆斯林移民的融入看欧洲认同的文化宗教向度,伍慧萍,同济大学
985.0,2011,国际问题研究,青年基金项目,东亚地缘战略体系下的中美关系研究,付瑞红,燕山大学
986.0,2011,国际问题研究,青年基金项目,新形势下中国参与非洲和平与安全建设研究,王学军,浙江师范大学
987.0,2011,国际问题研究,青年基金项目,美国大战略视域中的全球卫生治理战略及其对中国的借鉴意义研究,晋继勇,郑州大学
988.0,2011,国际问题研究,青年基金项目,国际捕鲸管制机制及其变迁研究（1946-2010）,孙凯,中国海洋大学
989.0,2011,国际问题研究,青年基金项目,印度海权战略与中国海上安全研究,卞秀瑜,中国海洋大学
990.0,2011,国际问题研究,自筹经费项目,金砖四国股票市场成长能力比较研究,张延良,山东财政学院
991.0,2011,交叉学科/综合研,规划基金项目,我国移动终端动漫游戏产业链重构及运营模式创新研究,刘晓云,安徽大学
992.0,2011,交叉学科/综合研,规划基金项目,忽必烈潜邸文人集团与元代文化文艺政策,任红敏,安阳师范学院
993.0,2011,交叉学科/综合研,规划基金项目,新时期西部城市人口与经济发展的相关性研究,魏淑清,北方民族大学
994.0,2011,交叉学科/综合研,规划基金项目,美国崛起之政治经济学分析（1865-1945）,张爽,北京第二外国语学院
995.0,2011,交叉学科/综合研,规划基金项目,货币国际化模式的选择标准和理论支持模块研究,罗斌,北京理工大学
996.0,2011,交叉学科/综合研,规划基金项目,我国农户对农村信息服务技术的采纳行为研究,温继文,北京林业大学
997.0,2011,交叉学科/综合研,规划基金项目,基于语料库的中医病机术语英译研究,都立澜,北京中医药大学
998.0,2011,交叉学科/综合研,规划基金项目,中医专业人才自主选拔评价体系研究,刘雯华,北京中医药大学
999.0,2011,交叉学科/综合研,规划基金项目,医疗纠纷人民调解处理机制研究,王梅红,北京中医药大学
1000.0,2011,交叉学科/综合研,规划基金项目,大众传媒话语实践的公共性研究,苏蕾,长安大学
1001.0,2011,交叉学科/综合研,规划基金项目,基于联合国框架下国际热点问题的中西方政治讲话语篇对比,王金玲,长春大学
1002.0,2011,交叉学科/综合研,规划基金项目,明清时期皖江流域水资源环境与农田水利建设,陈恩虎,巢湖学院
1003.0,2011,交叉学科/综合研,规划基金项目,中国二氧化碳捕捉与封存（CCS）早期实施方案构建及评价,匡建超,成都理工大学
1004.0,2011,交叉学科/综合研,规划基金项目,神经信息学视阈下的大学生压力认知与应对研究,马莹华,大连理工大学
1005.0,2011,交叉学科/综合研,规划基金项目,中国人汉、英关系从句的认知神经机制研究,王慧莉,大连理工大学
1006.0,2011,交叉学科/综合研,规划基金项目,唐代官员考核机制与任职评价研究——以行政法史为视角,董劭伟,东北大学
1007.0,2011,交叉学科/综合研究,规划基金项目,职业群体公民行为推进中小企业低碳社会责任策略研究——基于东北地区的实证研,张凤荣,东北师范大学
1008.0,2011,交叉学科/综合研,规划基金项目,青少年抑郁、焦虑与头发皮质醇的关联研究,邓慧华,东南大学
1009.0,2011,交叉学科/综合研,规划基金项目,北非政局动荡对我国投资该地区及非洲的影响与对策研究,杨国亮,对外经济贸易大学
1010.0,2011,交叉学科/综合研,规划基金项目,集体所有的生态公益林生态补偿标准计量研究——以福建省,陈钦,福建农林大学
1011.0,2011,交叉学科/综合研,规划基金项目,褐色土地再利用：障碍、冲突与协调机制,谢红彬,福建师范大学
1012.0,2011,交叉学科/综合研,规划基金项目,大学研究中心的组际网络与人际网络研究,刘凡丰,复旦大学
1013.0,2011,交叉学科/综合研究,规划基金项目,城镇化进程中农民工认同困境对消费行为影响研究——以客家农民工为例,黄侦,赣南师范学院
1014.0,2011,交叉学科/综合研究,规划基金项目,气候变化下国际贸易新型环境壁垒的贸易福利效应及我国对策研究,黄晓凤,广东商学院
1015.0,2011,交叉学科/综合研究,规划基金项目,思想与社会转型期文学嬗变考--中日近代文学起源比较研究,刘金举,广东外语外贸大学
1016.0,2011,交叉学科/综合研,规划基金项目,基于语言知识库的英汉双向口译训练系统的研制,马立东,广东外语外贸大学
1017.0,2011,交叉学科/综合研究,规划基金项目,技术进步、制度变迁与创业机会：基于欠发达地区的理论与实证研究,毕先萍,广西大学
1018.0,2011,交叉学科/综合研,规划基金项目,社会化标签系统用户偏好挖掘与电子商务个性化服务的研究,覃华,广西大学
1019.0,2011,交叉学科/综合研,规划基金项目,珠三角物流企业空间集聚特征及配送模型研究,陈颖彪,广州大学
1020.0,2011,交叉学科/综合研究,规划基金项目,改变语言改变认知吗？-语言表征对认知心理水平的模式识别与干预研究,徐芃,广州大学
1021.0,2011,交叉学科/综合研究,规划基金项目,黔滇交界地区社会文化及心理因素对少数民族流动人口艾滋病高危性行为的影响,胡健,贵州财经学院
1022.0,2011,交叉学科/综合研究,规划基金项目,西南喀斯特山地省区生态脆弱性引致的农村返贫问题研究—以贵州为例,汪磊,贵州大学
1023.0,2011,交叉学科/综合研,规划基金项目,不依赖主题的大学英语作文自动评分技术研究,周娅,桂林电子科技大学
1024.0,2011,交叉学科/综合研,规划基金项目,黑龙江省文化产业学科群建设的理论与实践,王伟建,哈尔滨师范大学
1025.0,2011,交叉学科/综合研,规划基金项目,城市景观的文化价值与地域特色研究,陈刚,合肥工业大学
1026.0,2011,交叉学科/综合研,规划基金项目,东周郑韩陶文研究,黄锦前,河南大学
1027.0,2011,交叉学科/综合研,规划基金项目,洛阳商周有铭青铜器整理研究,张新俊,河南大学
1028.0,2011,交叉学科/综合研,规划基金项目,民间信仰与明清话本小说神异叙事研究,杨宗红,贺州学院
1029.0,2011,交叉学科/综合研,规划基金项目,国际公共产品供给问题研究,李新,湖北经济学院
1030.0,2011,交叉学科/综合研,规划基金项目,转变经济发展方式背景下加快我国文化产业发展对策研究,向志强,湖南大学
1031.0,2011,交叉学科/综合研,规划基金项目,有时滞影响的双币种期权定价及风险管理研究,李亚琼,湖南大学
1032.0,2011,交叉学科/综合研,规划基金项目,经济系统与生态系统耦合的农业职业需求问题研究,晏小敏,湖南科技大学
1033.0,2011,交叉学科/综合研,规划基金项目,后哥本哈根时代我国出口产品碳足迹的量化评估与标注研究,赵立华,湖南科技大学
1034.0,2011,交叉学科/综合研究,规划基金项目,惩治民族恐怖主义犯罪刑事政策与民族地方社会稳定关系问题研究,喻义东,湖南理工学院
1035.0,2011,交叉学科/综合研,规划基金项目,基于在线小波支持向量机的金融高频波动率建模研究,汤凌冰,湖南商学院
1036.0,2011,交叉学科/综合研,规划基金项目,基于MAS计算的复杂供应链动态协作信任机制与方法研究,蒋伟进,湖南商学院
1037.0,2011,交叉学科/综合研,规划基金项目,唐代乐舞歌辞研究,周期政,湖州师范学院
1038.0,2011,交叉学科/综合研,规划基金项目,我国碳排放时空演变机制及减排政策分析,张兴平,华北电力大学
1039.0,2011,交叉学科/综合研,规划基金项目,儿童早期数学学习困难的诊断与干预研究,周欣,华东师范大学
1040.0,2011,交叉学科/综合研究,规划基金项目,少数民族的都市迁移研究：以上海为例,王富文NicholasTapp,华东师范大学
1041.0,2011,交叉学科/综合研,规划基金项目,罗伯聃、马儒翰、郭士立、威妥玛等的在华汉语活动研究,王幼敏,华东师范大学
1042.0,2011,交叉学科/综合研,规划基金项目,狄更斯的法律世界,孙达丹,华东政法大学
1043.0,2011,交叉学科/综合研,规划基金项目,农民增收的多功能农业结构优化研究,陈建国,华南农业大学
1044.0,2011,交叉学科/综合研,规划基金项目,商周金文中的军事资料整理与疏证,商艳涛,华南师范大学
1045.0,2011,交叉学科/综合研,规划基金项目,国际旅游岛开发背景下海南世居少数民族边缘化研究,刘俊,华南师范大学
1046.0,2011,交叉学科/综合研,规划基金项目,中国古代小说图像的语义研究,金聪,华中师范大学
1047.0,2011,交叉学科/综合研,规划基金项目,民营加工贸易企业转型升级中的风险管理研究,常立华,怀化学院
1048.0,2011,交叉学科/综合研究,规划基金项目,历史军事文化景观的理论与实践研究—以关公等传统民族军事文化景观为例,袁运福,黄淮学院
1049.0,2011,交叉学科/综合研,规划基金项目,高维计量经济模型的变量选择及其应用,赵世舜,吉林大学
1050.0,2011,交叉学科/综合研,规划基金项目,闽南摩崖石刻与两岸文化交流研究,陈光田,集美大学
1051.0,2011,交叉学科/综合研,规划基金项目,海峡两岸高校“预就业”人才培养模式比较研究,刘子奋,集美大学
1052.0,2011,交叉学科/综合研究,规划基金项目,现代分销批发组织的生成与新兴中间流通商培育的理论与实证研究,陈海权,暨南大学
1053.0,2011,交叉学科/综合研,规划基金项目,基于进化图理论和最优化理论的企业组织结构综合分析,张培爱,暨南大学
1054.0,2011,交叉学科/综合研,规划基金项目,新时期中国县制改革与县域经济科学发展的适应性研究,闫恩虎,嘉应学院
1055.0,2011,交叉学科/综合研,规划基金项目,区域性碳交易平台的系统研究,唐建荣,江南大学
1056.0,2011,交叉学科/综合研,规划基金项目,web2.0背景下的新兴文化创意产业研究,吴祐昕,江南大学
1057.0,2011,交叉学科/综合研,规划基金项目,地方精英与社会管理——基于民国时期无锡城区的分析,汪春劼,江南大学
1058.0,2011,交叉学科/综合研,规划基金项目,马克思经济学的方法论思想与发展方向,罗雄飞,江西财经大学
1059.0,2011,交叉学科/综合研,规划基金项目,后税费时代乡村“权力文化网络”的选择与发展研究,傅琼,江西农业大学
1060.0,2011,交叉学科/综合研,规划基金项目,物联网环境下西部地区虚拟应急物流网络体系及运作机制研,朱昌锋,兰州交通大学
1061.0,2011,交叉学科/综合研,规划基金项目,审美现代性的后现代实践：以批判美学、先锋派为考察中心,陈开晟,闽江学院
1062.0,2011,交叉学科/综合研,规划基金项目,可持续发展能源需求系统建模研究,宋宇辰,内蒙古科技大学
1063.0,2011,交叉学科/综合研,规划基金项目,基于粮食安全的我国粮食行业结构优化研究,侯立军,南京财经大学
1064.0,2011,交叉学科/综合研,规划基金项目,我国立法文本语言失范化问题及其对策研究,董晓波,南京师范大学
1065.0,2011,交叉学科/综合研,规划基金项目,包容性增长下居民收入提升路径研究,顾建平,南京师范大学
1066.0,2011,交叉学科/综合研,规划基金项目,社会转型期艺术人格的构建与培养研究,李建东,南通大学
1067.0,2011,交叉学科/综合研,规划基金项目,基于公共政策视角的节能减排政策评价与政策优化研究,邱立新,青岛科技大学
1068.0,2011,交叉学科/综合研,规划基金项目,最近30年人类学英文论著汉译质量分析,谢国先,三峡大学
1069.0,2011,交叉学科/综合研,规划基金项目,我国加工贸易由沿海向中西部梯度转移的产业集聚研究,王培志,山东财政学院
1070.0,2011,交叉学科/综合研,规划基金项目,人力资本利用效率与我国区域经济均衡发展研究,张文玺,山东大学
1071.0,2011,交叉学科/综合研,规划基金项目,构建政府资助下租赁为主体的城镇住房保障模式研究,李英,山东科技大学
1072.0,2011,交叉学科/综合研,规划基金项目,中国神庙剧场史,曹飞,山西师范大学
1073.0,2011,交叉学科/综合研,规划基金项目,宋代文士通医现象研究,薛芳芸,山西中医学院
1074.0,2011,交叉学科/综合研,规划基金项目,疾病风险全保障的筹与政府财政能力研究,李华,上海财经大学
1075.0,2011,交叉学科/综合研究,规划基金项目,社会福利最大化约束下我国彩票销量的合意规模测度及其实现的研究,李刚,上海师范大学
1076.0,2011,交叉学科/综合研,规划基金项目,镜像中国：BBC关于中国报道的实证研究（2001-2010）,陈丽江,上海体育学院
1077.0,2011,交叉学科/综合研,规划基金项目,建国以来中国城市公共文化空间的变迁研究,仲红卫,韶关学院
1078.0,2011,交叉学科/综合研究,规划基金项目,建设项目利益相关者的建筑废弃物减量化行为机理及导向机制研究,李景茹,深圳大学
1079.0,2011,交叉学科/综合研,规划基金项目,东北少数民族文学传播研究,曹萌,沈阳师范大学
1080.0,2011,交叉学科/综合研,规划基金项目,高速铁路环境影响评价理论与方法研究,张小平,石家庄铁道大学
1081.0,2011,交叉学科/综合研,规划基金项目,逻辑思维能力与创新型人才培养研究,冯艳,首都师范大学
1082.0,2011,交叉学科/综合研,规划基金项目,新医改背景下生命临终关怀机构建设标准的研究,李义庭,首都医科大学
1083.0,2011,交叉学科/综合研究,规划基金项目,文化边疆建设与边疆教育转型——1935-1949年西部边疆师范教育研究,凌兴珍,四川师范大学
1084.0,2011,交叉学科/综合研,规划基金项目,适应与生存——中国古代月令思想研究,胡火金,苏州大学
1085.0,2011,交叉学科/综合研,规划基金项目,昆曲非物质文化遗产影像数据库系统建设,邵斌,苏州科技学院
1086.0,2011,交叉学科/综合研究,规划基金项目,公民政策参与背景下地方政府民意吸纳与回应机制研究——以浙江实践为例,吴太胜,台州职业技术学院
1087.0,2011,交叉学科/综合研,规划基金项目,学科建设提升我国高校核心竞争力的研究,肖凤翔,天津大学
1088.0,2011,交叉学科/综合研,规划基金项目,基于可持续开发理论的纤维素乙醇开发策略研究,冯炘,天津理工大学
1089.0,2011,交叉学科/综合研,规划基金项目,我国青少年体质健康促进模型的构建及实证追踪研究,谭思洁,天津体育学院
1090.0,2011,交叉学科/综合研,规划基金项目,老年人家庭健康教育内容、方法及质量评价指标体系的研究,尹志勤,温州医学院
1091.0,2011,交叉学科/综合研,规划基金项目,经济发展模式转型背景下消费需求合理性的交叉科学研究,王今朝,武汉大学
1092.0,2011,交叉学科/综合研,规划基金项目,近代中国都市苦力研究-以沪、宁、汉、渝为中心,刘秋阳,武汉工程大学
1093.0,2011,交叉学科/综合研,规划基金项目,应对突发公共卫生事件的灾害护理教育及救援网络构建的研,余桂林,武汉科技大学
1094.0,2011,交叉学科/综合研究,规划基金项目,工业设计课程体系中“审美情感”与“技术原理”关系的系统构架研究,汤军,武汉理工大学
1095.0,2011,交叉学科/综合研,规划基金项目,嵌入情绪因素的网络群体性事件的博弈模型和舆情传导机制,熊国强,西安理工大学
1096.0,2011,交叉学科/综合研,规划基金项目,中国风水与现代环境艺术设计,胡义成,西安欧亚学院
1097.0,2011,交叉学科/综合研,规划基金项目,博洛尼亚进程的瑞典大学教育新思维发展模式,赵硕,西北工业大学
1098.0,2011,交叉学科/综合研,规划基金项目,藏族历算中的汉藏文化交流研究,夏吾才,西北民族大学
1099.0,2011,交叉学科/综合研,规划基金项目,藏文网络舆情传播与主体行为研究,李应兴,西北民族大学
1100.0,2011,交叉学科/综合研究,规划基金项目,少数民族生产生活方式与西藏生态安全屏障建设研究——以墨脱县为例,郭光普,西藏大学
1101.0,2011,交叉学科/综合研,规划基金项目,基于群体智能涌现的网络舆情突发事件预警机制研究,杨燕,西南交通大学
